HS Code,school_name,college_type,year,high_school_graduates,enrolled_in_alabama_public_colleges,enrolled_in_remedial_math,enrolled_in_remedial_english,enrolled_in_remedial_both,enrolled_in_remedial_total
340020,Abbeville High School,all,2024,46,20,2,1,0,3
340020,Abbeville High School,2YR,2024,46,11,2,0,0,2
340020,Abbeville High School,4YR,2024,46,9,0,1,0,1
8000010,Acceleration Day and Evening Academy,all,2024,105,16,2,3,1,6
8000010,Acceleration Day and Evening Academy,2YR,2024,105,12,2,3,1,6
8000010,Acceleration Day and Evening Academy,4YR,2024,105,4,0,0,0,0
670010,Addison High School,all,2024,42,16,4,0,0,4
670010,Addison High School,2YR,2024,42,11,3,0,0,3
670010,Addison High School,4YR,2024,42,5,1,0,0,1
420128,Alabama Connections Academy,all,2024,684,123,21,6,6,33
420128,Alabama Connections Academy,2YR,2024,684,80,14,6,6,26
420128,Alabama Connections Academy,4YR,2024,684,43,7,0,0,7
1210025,Alabama Destinations Career Academy,all,2024,65,16,2,0,1,3
1210025,Alabama Destinations Career Academy,2YR,2024,65,10,1,0,1,2
1210025,Alabama Destinations Career Academy,4YR,2024,65,6,1,0,0,1
1332060,Alabama Virtual Academy at Eufaula City,all,2024,218,51,6,4,1,11
1332060,Alabama Virtual Academy at Eufaula City,2YR,2024,218,24,1,3,1,5
1332060,Alabama Virtual Academy at Eufaula City,4YR,2024,218,27,5,1,0,6
520005,Albert P Brewer High School,all,2024,153,50,3,0,0,3
520005,Albert P Brewer High School,2YR,2024,153,35,2,0,0,2
520005,Albert P Brewer High School,4YR,2024,153,15,1,0,0,1
1010020,Albertville High School,all,2024,371,142,20,6,9,35
1010020,Albertville High School,2YR,2024,371,108,15,5,9,29
1010020,Albertville High School,4YR,2024,371,34,5,1,0,6
80010,Alexandria High School,all,2024,111,51,4,0,0,4
80010,Alexandria High School,2YR,2024,111,13,2,0,0,2
80010,Alexandria High School,4YR,2024,111,38,2,0,0,2
540020,Aliceville High School,all,2024,45,14,2,2,1,5
540020,Aliceville High School,2YR,2024,45,4,1,0,0,1
540020,Aliceville High School,4YR,2024,45,10,1,2,1,4
490136,Alma Bryant High School,all,2024,362,103,8,4,3,15
490136,Alma Bryant High School,2YR,2024,362,45,7,2,3,12
490136,Alma Bryant High School,4YR,2024,362,58,1,2,0,3
460010,Amelia L. Johnson High School,all,2024,17,8,2,0,0,2
460010,Amelia L. Johnson High School,2YR,2024,17,3,0,0,0,0
460010,Amelia L. Johnson High School,4YR,2024,17,5,2,0,0,2
1040010,Andalusia High School,all,2024,117,75,3,3,2,8
1040010,Andalusia High School,2YR,2024,117,40,3,1,2,6
1040010,Andalusia High School,4YR,2024,117,35,0,2,0,2
1050010,Anniston High School,all,2024,93,39,3,9,1,13
1050010,Anniston High School,2YR,2024,93,14,0,2,0,2
1050010,Anniston High School,4YR,2024,93,25,3,7,1,11
50020,Appalachian School,all,2024,34,8,0,0,0,0
50020,Appalachian School,2YR,2024,34,7,0,0,0,0
50020,Appalachian School,4YR,2024,34,1,0,0,0,0
1060020,Arab High School,all,2024,159,97,8,4,0,12
1060020,Arab High School,2YR,2024,159,66,6,4,0,10
1060020,Arab High School,4YR,2024,159,31,2,0,0,2
420010,Ardmore High School,all,2024,122,52,2,2,0,4
420010,Ardmore High School,2YR,2024,122,25,1,1,0,2
420010,Ardmore High School,4YR,2024,122,27,1,1,0,2
230010,Ariton School,all,2024,61,36,3,0,1,4
230010,Ariton School,2YR,2024,61,19,2,0,1,3
230010,Ariton School,4YR,2024,61,17,1,0,0,1
480030,Asbury High School,all,2024,78,31,4,2,3,9
480030,Asbury High School,2YR,2024,78,23,4,2,3,9
480030,Asbury High School,4YR,2024,78,8,0,0,0,0
350010,Ashford High School,all,2024,89,40,2,5,0,7
350010,Ashford High School,2YR,2024,89,24,0,1,0,1
350010,Ashford High School,4YR,2024,89,16,2,4,0,6
580010,Ashville High School,all,2024,72,32,4,0,0,4
580010,Ashville High School,2YR,2024,72,12,2,0,0,2
580010,Ashville High School,4YR,2024,72,20,2,0,0,2
1070030,Athens High School,all,2024,254,130,13,7,3,23
1070030,Athens High School,2YR,2024,254,53,8,4,1,13
1070030,Athens High School,4YR,2024,254,77,5,3,2,10
1070025,Athens Renaissance School,all,2024,65,27,2,2,2,6
1070025,Athens Renaissance School,2YR,2024,65,18,2,2,2,6
1070025,Athens Renaissance School,4YR,2024,65,9,0,0,0,0
1100010,Auburn High School,all,2024,697,412,29,14,13,56
1100010,Auburn High School,2YR,2024,697,139,25,12,10,47
1100010,Auburn High School,4YR,2024,697,273,4,2,3,9
1270010,Austin High School,all,2024,305,137,9,9,6,24
1270010,Austin High School,2YR,2024,305,52,7,4,5,16
1270010,Austin High School,4YR,2024,305,85,2,5,1,8
10015,Autaugaville School,all,2024,15,4,0,0,0,0
10015,Autaugaville School,2YR,2024,15,3,0,0,0,0
10015,Autaugaville School,4YR,2024,15,1,0,0,0,0
490100,Baker High School,all,2024,594,273,11,10,6,27
490100,Baker High School,2YR,2024,594,76,5,8,5,18
490100,Baker High School,4YR,2024,594,197,6,2,1,9
20005,Baldwin County High School,all,2024,212,88,7,1,1,9
20005,Baldwin County High School,2YR,2024,212,54,7,0,0,7
20005,Baldwin County High School,4YR,2024,212,34,0,1,1,2
20185,Baldwin County Virtual School,all,2024,75,25,4,1,1,6
20185,Baldwin County Virtual School,2YR,2024,75,12,4,1,1,6
20185,Baldwin County Virtual School,4YR,2024,75,13,0,0,0,0
30020,Barbour County High School,all,2024,30,7,0,0,0,0
30020,Barbour County High School,2YR,2024,30,6,0,0,0,0
30020,Barbour County High School,4YR,2024,30,1,0,0,0,0
610020,BB Comer Memorial High School,all,2024,64,23,3,3,3,9
610020,BB Comer Memorial High School,2YR,2024,64,9,0,2,1,3
610020,BB Comer Memorial High School,4YR,2024,64,14,3,1,2,6
1140025,BCS Virtual Academy of Learning,all,2024,34,8,3,1,0,4
1140025,BCS Virtual Academy of Learning,2YR,2024,34,3,2,0,0,2
1140025,BCS Virtual Academy of Learning,4YR,2024,34,5,1,1,0,2
410010,Beauregard High School,all,2024,120,54,5,3,0,8
410010,Beauregard High School,2YR,2024,120,35,3,3,0,6
410010,Beauregard High School,4YR,2024,120,19,2,0,0,2
300010,Belgreen High School,all,2024,28,11,0,0,1,1
300010,Belgreen High School,2YR,2024,28,10,0,0,1,1
300010,Belgreen High School,4YR,2024,28,1,0,0,0,0
490080,Ben C Rain High School,all,2024,126,34,0,4,1,5
490080,Ben C Rain High School,2YR,2024,126,12,0,2,1,3
490080,Ben C Rain High School,4YR,2024,126,22,0,2,0,2
1020020,Benjamin Russell High School,all,2024,167,82,10,3,2,15
1020020,Benjamin Russell High School,2YR,2024,167,50,5,2,2,9
1020020,Benjamin Russell High School,4YR,2024,167,32,5,1,0,6
290020,Berry High School,all,2024,19,10,1,0,0,1
290020,Berry High School,2YR,2024,19,6,1,0,0,1
290020,Berry High School,4YR,2024,19,4,0,0,0,0
1130080,Bessemer City High School,all,2024,191,44,3,5,2,10
1130080,Bessemer City High School,2YR,2024,191,17,3,1,2,6
1130080,Bessemer City High School,4YR,2024,191,27,0,4,0,4
410020,Beulah High School,all,2024,62,25,4,1,0,5
410020,Beulah High School,2YR,2024,62,22,3,1,0,4
410020,Beulah High School,4YR,2024,62,3,1,0,0,1
40010,Bibb County High School,all,2024,98,46,7,3,3,13
40010,Bibb County High School,2YR,2024,98,22,4,0,3,7
40010,Bibb County High School,4YR,2024,98,24,3,3,0,6
10040,Billingsley High School,all,2024,40,14,0,0,0,0
10040,Billingsley High School,2YR,2024,40,6,0,0,0,0
10040,Billingsley High School,4YR,2024,40,8,0,0,0,0
1150060,Boaz High School,all,2024,153,76,6,4,3,13
1150060,Boaz High School,2YR,2024,153,58,4,4,3,11
1150060,Boaz High School,4YR,2024,153,18,2,0,0,2
1690080,Bob Jones High School,all,2024,479,218,13,7,5,25
1690080,Bob Jones High School,2YR,2024,479,59,10,3,4,17
1690080,Bob Jones High School,4YR,2024,479,159,3,4,1,8
440010,Booker T Washington High,all,2024,105,42,2,10,2,14
440010,Booker T Washington High,2YR,2024,105,6,0,0,1,1
440010,Booker T Washington High,4YR,2024,105,36,2,10,1,13
510060,Booker T Washington Magnet High School,all,2024,100,54,4,4,1,9
510060,Booker T Washington Magnet High School,2YR,2024,100,3,0,0,0,0
510060,Booker T Washington Magnet High School,4YR,2024,100,51,4,4,1,9
210010,Brantley High School,all,2024,37,18,1,0,1,2
210010,Brantley High School,2YR,2024,37,10,0,0,1,1
210010,Brantley High School,4YR,2024,37,8,1,0,0,1
510097,Brewbaker Technology Magnet High School,all,2024,139,84,4,5,0,9
510097,Brewbaker Technology Magnet High School,2YR,2024,139,12,1,0,0,1
510097,Brewbaker Technology Magnet High School,4YR,2024,139,72,3,5,0,8
470010,Brilliant School,all,2024,16,6,1,0,0,1
470010,Brilliant School,2YR,2024,16,5,0,0,0,0
470010,Brilliant School,4YR,2024,16,1,1,0,0,1
480042,Brindlee Mountain High School,all,2024,66,16,3,0,0,3
480042,Brindlee Mountain High School,2YR,2024,66,10,1,0,0,1
480042,Brindlee Mountain High School,4YR,2024,66,6,2,0,0,2
