HS Code,school_name,college_type,year,high_school_graduates,enrolled_in_alabama_public_colleges,enrolled_in_remedial_math,enrolled_in_remedial_english,enrolled_in_remedial_both,enrolled_in_remedial_total
390020,Brooks High School,all,2024,117,53,2,2,0,4
390020,Brooks High School,2YR,2024,117,25,2,0,0,2
390020,Brooks High School,4YR,2024,117,28,0,2,0,2
630030,Brookwood High School,all,2024,246,92,12,5,2,19
630030,Brookwood High School,2YR,2024,246,48,9,2,1,12
630030,Brookwood High School,4YR,2024,246,44,3,3,1,7
450030,Buckhorn High School,all,2024,277,148,20,8,2,30
450030,Buckhorn High School,2YR,2024,277,54,14,2,1,17
450030,Buckhorn High School,4YR,2024,277,94,6,6,1,13
60050,Bullock County High School,all,2024,81,23,2,4,0,6
60050,Bullock County High School,2YR,2024,81,12,0,1,0,1
60050,Bullock County High School,4YR,2024,81,11,2,3,0,5
590010,Calera High,all,2024,236,110,12,6,5,23
590010,Calera High,2YR,2024,236,38,3,1,4,8
590010,Calera High,4YR,2024,236,72,9,5,1,15
430015,Calhoun High School,all,2024,39,9,1,0,1,2
430015,Calhoun High School,2YR,2024,39,9,1,0,1,2
430015,Calhoun High School,4YR,2024,39,0,0,0,0,0
640020,Carbon Hill High School,all,2024,80,22,9,0,0,9
640020,Carbon Hill High School,2YR,2024,80,19,8,0,0,8
640020,Carbon Hill High School,4YR,2024,80,3,1,0,0,1
1820010,Carroll High School,all,2024,147,58,3,2,1,6
1820010,Carroll High School,2YR,2024,147,27,1,0,1,2
1820010,Carroll High School,4YR,2024,147,31,2,2,0,4
510130,Carver Senior High School,all,2024,192,59,6,14,4,24
510130,Carver Senior High School,2YR,2024,192,23,5,3,2,10
510130,Carver Senior High School,4YR,2024,192,36,1,11,2,14
100020,Cedar Bluff High School,all,2024,38,12,1,1,0,2
100020,Cedar Bluff High School,2YR,2024,38,5,0,1,0,1
100020,Cedar Bluff High School,4YR,2024,38,7,1,0,0,1
370280,Center Point High School,all,2024,180,46,10,4,3,17
370280,Center Point High School,2YR,2024,180,19,4,3,2,9
370280,Center Point High School,4YR,2024,180,27,6,1,1,8
140085,Central High School of Clay County,all,2024,122,38,7,0,0,7
140085,Central High School of Clay County,2YR,2024,122,25,3,0,0,3
140085,Central High School of Clay County,4YR,2024,122,13,4,0,0,4
190005,Central High School,all,2024,59,27,2,1,1,4
190005,Central High School,2YR,2024,59,16,1,1,1,3
190005,Central High School,4YR,2024,59,11,1,0,0,1
390030,Central High School,all,2024,86,31,0,1,1,2
390030,Central High School,2YR,2024,86,11,0,0,1,1
390030,Central High School,4YR,2024,86,20,0,1,0,1
430025,Central High School,all,2024,34,7,1,0,0,1
430025,Central High School,2YR,2024,34,3,0,0,0,0
430025,Central High School,4YR,2024,34,4,1,0,0,1
1840030,Central High School,all,2024,452,165,17,13,5,35
1840030,Central High School,2YR,2024,452,60,7,0,4,11
1840030,Central High School,4YR,2024,452,105,10,13,1,24
2000160,Central High School,all,2024,174,65,7,7,6,20
2000160,Central High School,2YR,2024,174,34,3,4,5,12
2000160,Central High School,4YR,2024,174,31,4,3,1,8
490750,CF Vigor High School,all,2024,113,34,3,1,2,6
490750,CF Vigor High School,2YR,2024,113,22,2,0,1,3
490750,CF Vigor High School,4YR,2024,113,12,1,1,1,3
1990010,Charles Henderson High School,all,2024,129,53,5,9,3,17
1990010,Charles Henderson High School,2YR,2024,129,12,0,1,1,2
1990010,Charles Henderson High School,4YR,2024,129,41,5,8,2,15
590020,Chelsea High School,all,2024,314,197,7,4,4,15
590020,Chelsea High School,2YR,2024,314,69,5,1,3,9
590020,Chelsea High School,4YR,2024,314,128,2,3,1,6
100050,Cherokee County High School,all,2024,100,42,2,2,2,6
100050,Cherokee County High School,2YR,2024,100,25,1,2,2,5
100050,Cherokee County High School,4YR,2024,100,17,1,0,0,1
170060,Cherokee High School,all,2024,36,13,1,0,0,1
170060,Cherokee High School,2YR,2024,36,6,1,0,0,1
170060,Cherokee High School,4YR,2024,36,7,0,0,0,0
1210020,Chickasaw City High School,all,2024,37,8,1,0,2,3
1210020,Chickasaw City High School,2YR,2024,37,7,0,0,2,2
1210020,Chickasaw City High School,4YR,2024,37,1,1,0,0,1
610050,Childersburg High School,all,2024,81,30,3,2,1,6
610050,Childersburg High School,2YR,2024,81,14,3,0,1,4
610050,Childersburg High School,4YR,2024,81,16,0,2,0,2
110010,Chilton County High School,all,2024,187,56,4,5,1,10
110010,Chilton County High School,2YR,2024,187,31,2,1,1,4
110010,Chilton County High School,4YR,2024,187,25,2,4,0,6
120020,Choctaw County High School,all,2024,37,12,2,1,1,4
120020,Choctaw County High School,2YR,2024,37,2,0,1,0,1
120020,Choctaw County High School,4YR,2024,37,10,2,0,1,3
490190,Citronelle High School,all,2024,160,47,4,3,2,9
490190,Citronelle High School,2YR,2024,160,23,4,0,2,6
490190,Citronelle High School,4YR,2024,160,24,0,3,0,3
130010,Clarke County High School,all,2024,47,20,2,2,1,5
130010,Clarke County High School,2YR,2024,47,12,0,2,1,3
130010,Clarke County High School,4YR,2024,47,8,2,0,0,2
370185,Clay-Chalkville High School,all,2024,300,118,15,10,3,28
370185,Clay-Chalkville High School,2YR,2024,300,36,1,4,3,8
370185,Clay-Chalkville High School,4YR,2024,300,82,14,6,0,20
150020,Cleburne County High School,all,2024,109,50,6,1,0,7
150020,Cleburne County High School,2YR,2024,109,26,3,1,0,4
150020,Cleburne County High School,4YR,2024,109,24,3,0,0,3
420020,Clements High School,all,2024,69,20,0,1,1,2
420020,Clements High School,2YR,2024,69,13,0,1,1,2
420020,Clements High School,4YR,2024,69,7,0,0,0,0
50040,Cleveland High School,all,2024,39,17,0,0,0,0
50040,Cleveland High School,2YR,2024,39,14,0,0,0,0
50040,Cleveland High School,4YR,2024,39,3,0,0,0,0
170070,Colbert County High School,all,2024,73,27,4,1,1,6
170070,Colbert County High School,2YR,2024,73,18,4,0,0,4
170070,Colbert County High School,4YR,2024,73,9,0,1,1,2
170080,Colbert Heights High School,all,2024,71,29,0,1,0,1
170080,Colbert Heights High School,2YR,2024,71,17,0,0,0,0
170080,Colbert Heights High School,4YR,2024,71,12,0,1,0,1
220030,Cold Springs High School,all,2024,55,30,3,1,1,5
220030,Cold Springs High School,2YR,2024,55,26,2,1,1,4
220030,Cold Springs High School,4YR,2024,55,4,1,0,0,1
250030,Collinsville High School,all,2024,48,12,0,0,0,0
250030,Collinsville High School,2YR,2024,48,11,0,0,0,0
250030,Collinsville High School,4YR,2024,48,1,0,0,0,0
1590052,Columbia High School,all,2024,185,0,0,0,0,0
1590052,Columbia High School,2YR,2024,185,0,0,0,0,0
1590052,Columbia High School,4YR,2024,185,0,0,0,0,0
640050,Cordova High School,all,2024,110,43,4,6,0,10
640050,Cordova High School,2YR,2024,110,33,4,4,0,8
640050,Cordova High School,4YR,2024,110,10,0,2,0,2
370210,Corner High School,all,2024,133,67,11,0,0,11
370210,Corner High School,2YR,2024,133,43,5,0,0,5
370210,Corner High School,4YR,2024,133,24,6,0,0,6
350020,Cottonwood High School,all,2024,63,22,2,0,2,4
350020,Cottonwood High School,2YR,2024,63,12,0,0,0,0
350020,Cottonwood High School,4YR,2024,63,10,2,0,2,4
250045,Crossville High School,all,2024,138,44,2,2,2,6
250045,Crossville High School,2YR,2024,138,40,1,2,2,5
250045,Crossville High School,4YR,2024,138,4,1,0,0,1
1250020,Cullman High School,all,2024,217,133,6,1,3,10
1250020,Cullman High School,2YR,2024,217,70,4,0,3,7
1250020,Cullman High School,4YR,2024,217,63,2,1,0,3
640070,Curry High School,all,2024,88,30,8,1,3,12
640070,Curry High School,2YR,2024,88,27,8,1,3,12
640070,Curry High School,4YR,2024,88,3,0,0,0,0
620020,Dadeville High School,all,2024,74,25,3,1,0,4
620020,Dadeville High School,2YR,2024,74,9,0,1,0,1
620020,Dadeville High School,4YR,2024,74,16,3,0,0,3
230020,Dale County High School,all,2024,98,43,3,6,1,10
230020,Dale County High School,2YR,2024,98,27,2,2,0,4
230020,Dale County High School,4YR,2024,98,16,1,4,1,6
1260010,Daleville High School,all,2024,55,25,1,3,0,4
1260010,Daleville High School,2YR,2024,55,15,1,0,0,1
1260010,Daleville High School,4YR,2024,55,10,0,3,0,3
240020,Dallas County High School,all,2024,90,48,2,2,0,4
240020,Dallas County High School,2YR,2024,90,28,1,1,0,2
240020,Dallas County High School,4YR,2024,90,20,1,1,0,2
520030,Danville High School,all,2024,82,22,1,0,0,1
520030,Danville High School,2YR,2024,82,19,1,0,0,1
520030,Danville High School,4YR,2024,82,3,0,0,0,0
20035,Daphne High School,all,2024,380,187,15,8,1,24
20035,Daphne High School,2YR,2024,380,78,11,4,1,16
20035,Daphne High School,4YR,2024,380,109,4,4,0,8
1270030,Decatur High School,all,2024,210,79,3,2,4,9
1270030,Decatur High School,2YR,2024,210,24,3,1,3,7
1270030,Decatur High School,4YR,2024,210,55,0,1,1,2
1280050,Demopolis High School,all,2024,152,90,4,3,2,9
1280050,Demopolis High School,2YR,2024,152,29,3,0,0,3
1280050,Demopolis High School,4YR,2024,152,61,1,3,2,6
2010010,Deshler High School,all,2024,98,40,0,4,0,4
2010010,Deshler High School,2YR,2024,98,21,0,0,0,0
2010010,Deshler High School,4YR,2024,98,19,0,4,0,4
640080,Dora High School,all,2024,105,43,10,0,0,10
640080,Dora High School,2YR,2024,105,28,9,0,0,9
640080,Dora High School,4YR,2024,105,15,1,0,0,1
1300025,Dothan City Virtual School,all,2024,62,12,0,2,0,2
1300025,Dothan City Virtual School,2YR,2024,62,7,0,1,0,1
1300025,Dothan City Virtual School,4YR,2024,62,5,0,1,0,1
1300115,Dothan High School,all,2024,409,137,14,8,2,24
1300115,Dothan High School,2YR,2024,409,68,9,2,2,13
1300115,Dothan High School,4YR,2024,409,69,5,6,0,11
480100,Douglas High School,all,2024,130,49,5,1,3,9
480100,Douglas High School,2YR,2024,130,42,5,1,3,9
480100,Douglas High School,4YR,2024,130,7,0,0,0,0
400020,East Lawrence High School,all,2024,99,42,1,1,3,5
400020,East Lawrence High School,2YR,2024,99,21,0,0,3,3
400020,East Lawrence High School,4YR,2024,99,21,1,1,0,2
420030,East Limestone High School,all,2024,169,80,2,6,1,9
420030,East Limestone High School,2YR,2024,169,40,1,4,1,6
420030,East Limestone High School,4YR,2024,169,40,1,2,0,3
260095,EDGE Virtual School,all,2024,76,10,0,0,1,1
260095,EDGE Virtual School,2YR,2024,76,8,0,0,1,1
260095,EDGE Virtual School,4YR,2024,76,2,0,0,0,0
1310020,Elba High School,all,2024,43,19,0,1,1,2
1310020,Elba High School,2YR,2024,43,11,0,0,1,1
1310020,Elba High School,4YR,2024,43,8,0,1,0,1
20050,Elberta High School,all,2024,156,41,5,1,0,6
20050,Elberta High School,2YR,2024,156,21,3,1,0,4
20050,Elberta High School,4YR,2024,156,20,2,0,0,2
420050,Elkmont High School,all,2024,85,24,2,0,1,3
420050,Elkmont High School,2YR,2024,85,16,2,0,1,3
420050,Elkmont High School,4YR,2024,85,8,0,0,0,0
260010,Elmore County High School,all,2024,106,54,6,2,2,10
260010,Elmore County High School,2YR,2024,106,29,3,1,1,5
260010,Elmore County High School,4YR,2024,106,25,3,1,1,5
1320050,Enterprise High School,all,2024,463,227,9,10,8,27
1320050,Enterprise High School,2YR,2024,463,114,4,5,6,15
1320050,Enterprise High School,4YR,2024,463,113,5,5,2,12
270025,Escambia County High School,all,2024,93,27,2,1,1,4
270025,Escambia County High School,2YR,2024,93,13,0,0,1,1
270025,Escambia County High School,4YR,2024,93,14,2,1,0,3
1090025,Etowah High School,all,2024,115,51,9,2,0,11
1090025,Etowah High School,2YR,2024,115,31,6,2,0,8
1090025,Etowah High School,4YR,2024,115,20,3,0,0,3
1330010,Eufaula High School,all,2024,153,65,8,10,4,22
1330010,Eufaula High School,2YR,2024,153,34,7,2,2,11
1330010,Eufaula High School,4YR,2024,153,31,1,8,2,11
80085,EXCEL Academy,all,2024,23,4,1,0,0,1
80085,EXCEL Academy,2YR,2024,23,3,1,0,0,1
80085,EXCEL Academy,4YR,2024,23,1,0,0,0,0
500020,Excel High School,all,2024,71,40,4,2,2,8
500020,Excel High School,2YR,2024,71,33,4,2,2,8
500020,Excel High School,4YR,2024,71,7,0,0,0,0
1370020,Fairfield High Preparatory School,all,2024,121,7,3,0,0,3
1370020,Fairfield High Preparatory School,2YR,2024,121,3,1,0,0,1
1370020,Fairfield High Preparatory School,4YR,2024,121,4,2,0,0,2
20065,Fairhope High School,all,2024,365,196,11,4,2,17
20065,Fairhope High School,2YR,2024,365,65,7,4,2,13
20065,Fairhope High School,4YR,2024,365,131,4,0,0,4
220060,Fairview High School,all,2024,129,62,2,1,3,6
220060,Fairview High School,2YR,2024,129,44,2,0,1,3
220060,Fairview High School,4YR,2024,129,18,0,1,2,3
520060,Falkville High School,all,2024,50,18,1,0,0,1
520060,Falkville High School,2YR,2024,50,17,1,0,0,1
520060,Falkville High School,4YR,2024,50,1,0,0,0,0
290025,Fayette County High School,all,2024,90,46,4,1,1,6
290025,Fayette County High School,2YR,2024,90,29,4,0,1,5
290025,Fayette County High School,4YR,2024,90,17,0,1,0,1
610080,Fayetteville High School,all,2024,47,29,2,0,0,2
610080,Fayetteville High School,2YR,2024,47,13,1,0,0,1
610080,Fayetteville High School,4YR,2024,47,16,1,0,0,1
270050,Flomaton High School,all,2024,78,30,6,1,2,9
270050,Flomaton High School,2YR,2024,78,23,6,1,2,9
270050,Flomaton High School,4YR,2024,78,7,0,0,0,0
200040,Florala High School,all,2024,27,13,1,1,1,3
200040,Florala High School,2YR,2024,27,11,1,0,1,2
200040,Florala High School,4YR,2024,27,2,0,1,0,1
1410020,Florence High School,all,2024,345,151,12,7,4,23
1410020,Florence High School,2YR,2024,345,57,8,1,3,12
1410020,Florence High School,4YR,2024,345,94,4,6,1,11
20083,Foley High School,all,2024,327,103,4,5,2,11
20083,Foley High School,2YR,2024,327,51,3,4,1,8
20083,Foley High School,4YR,2024,327,52,1,1,1,3
1430020,Fort Payne High School,all,2024,258,138,7,4,4,15
1430020,Fort Payne High School,2YR,2024,258,84,6,4,4,14
1430020,Fort Payne High School,4YR,2024,258,54,1,0,0,1
530025,Francis Marion School,all,2024,48,15,1,2,3,6
530025,Francis Marion School,2YR,2024,48,9,1,1,2,4
530025,Francis Marion School,4YR,2024,48,6,0,1,1,2
650030,Fruitdale High School,all,2024,27,11,2,0,0,2
650030,Fruitdale High School,2YR,2024,27,3,1,0,0,1
650030,Fruitdale High School,4YR,2024,27,8,1,0,0,1
370295,Fultondale High School,all,2024,91,40,6,2,0,8
370295,Fultondale High School,2YR,2024,91,22,0,1,0,1
370295,Fultondale High School,4YR,2024,91,18,6,1,0,7
250065,Fyffe High School,all,2024,52,26,2,1,1,4
250065,Fyffe High School,2YR,2024,52,25,2,1,1,4
250065,Fyffe High School,4YR,2024,52,1,0,0,0,0
1440135,Gadsden City High School,all,2024,281,137,20,5,8,33
1440135,Gadsden City High School,2YR,2024,281,62,10,3,7,20
1440135,Gadsden City High School,4YR,2024,281,75,10,2,1,13
370310,Gardendale High School,all,2024,229,112,12,8,4,24
370310,Gardendale High School,2YR,2024,229,45,5,3,2,10
370310,Gardendale High School,4YR,2024,229,67,7,5,2,14
280040,Gaston High School,all,2024,49,20,2,2,1,5
280040,Gaston High School,2YR,2024,49,14,1,2,1,4
280040,Gaston High School,4YR,2024,49,6,1,0,0,1
100060,Gaylesville High School,all,2024,31,13,0,0,0,0
100060,Gaylesville High School,2YR,2024,31,9,0,0,0,0
100060,Gaylesville High School,4YR,2024,31,4,0,0,0,0
180090,Genesis Innovative School,all,2024,62,14,1,0,0,1
180090,Genesis Innovative School,2YR,2024,62,8,1,0,0,1
180090,Genesis Innovative School,4YR,2024,62,6,0,0,0,0
310020,Geneva County High School,all,2024,46,25,1,0,0,1
310020,Geneva County High School,2YR,2024,46,20,0,0,0,0
310020,Geneva County High School,4YR,2024,46,5,1,0,0,1
1460010,Geneva High School,all,2024,84,52,3,3,0,6
1460010,Geneva High School,2YR,2024,84,35,2,2,0,4
1460010,Geneva High School,4YR,2024,84,17,1,1,0,2
230040,George W Long High School,all,2024,47,29,0,1,0,1
230040,George W Long High School,2YR,2024,47,12,0,0,0,0
230040,George W Long High School,4YR,2024,47,17,0,1,0,1
1140095,George Washington Carver High School,all,2024,104,29,4,3,0,7
1140095,George Washington Carver High School,2YR,2024,104,15,2,0,0,2
1140095,George Washington Carver High School,4YR,2024,104,14,2,3,0,5
70085,Georgiana School,all,2024,26,8,1,0,0,1
70085,Georgiana School,2YR,2024,26,6,0,0,0,0
70085,Georgiana School,4YR,2024,26,2,1,0,0,1
250070,Geraldine School,all,2024,77,21,1,0,0,1
250070,Geraldine School,2YR,2024,77,19,1,0,0,1
250070,Geraldine School,4YR,2024,77,2,0,0,0,0
280060,Glencoe High School,all,2024,61,37,5,1,1,7
280060,Glencoe High School,2YR,2024,61,22,2,1,1,4
280060,Glencoe High School,4YR,2024,61,15,3,0,0,3
220080,Good Hope High School,all,2024,104,39,3,1,0,4
220080,Good Hope High School,2YR,2024,104,32,3,1,0,4
220080,Good Hope High School,4YR,2024,104,7,0,0,0,0
540070,Gordo High School,all,2024,71,21,3,0,0,3
540070,Gordo High School,2YR,2024,71,16,3,0,0,3
540070,Gordo High School,4YR,2024,71,5,0,0,0,0
550030,Goshen High School,all,2024,53,28,0,4,2,6
550030,Goshen High School,2YR,2024,53,11,0,2,1,3
550030,Goshen High School,4YR,2024,53,17,0,2,1,3
320030,Greene County High School,all,2024,49,14,5,2,0,7
320030,Greene County High School,2YR,2024,49,5,1,2,0,3
320030,Greene County High School,4YR,2024,49,9,4,0,0,4
330043,Greensboro High School,all,2024,55,21,1,5,1,7
330043,Greensboro High School,2YR,2024,55,12,1,3,0,4
330043,Greensboro High School,4YR,2024,55,9,0,2,1,3
70030,Greenville High School,all,2024,108,44,7,5,1,13
70030,Greenville High School,2YR,2024,108,35,7,3,1,11
70030,Greenville High School,4YR,2024,108,9,0,2,0,2
1520030,Gulf Shores High School,all,2024,193,74,2,6,3,11
1520030,Gulf Shores High School,2YR,2024,193,39,2,6,3,11
1520030,Gulf Shores High School,4YR,2024,193,35,0,0,0,0
1540040,Guntersville High School,all,2024,114,78,4,3,2,9
1540040,Guntersville High School,2YR,2024,114,45,1,3,1,5
1540040,Guntersville High School,4YR,2024,114,33,3,0,1,4
470070,Hackleburg High School,all,2024,31,8,2,0,0,2
470070,Hackleburg High School,2YR,2024,31,5,1,0,0,1
470070,Hackleburg High School,4YR,2024,31,3,1,0,0,1
